default_code|name|description|sale_ok|purchase_ok|can_be_expensed|type|list_price|standard_price|barcode|categ_id|categ_parent_1|categ_parent_2|categ_parent_3|categ_parent_4|categ_parent_5|incoming_inspection|manufacturer_pref|warranty|warranty_type|lead_time|lead_time_type|rohs_regulation|manufacturer_purl|manufacturer_id|active|arancel_id|ecoraee_active|tracking|weight|intrastat_id|default_ubication|optional_product_ids|route_ids|version|uom_id|uom_po_id|invoice_policy|event_ok|customer_ids|description_sale|sale_line_warn|responsible_id|volume|produce_delay|sale_delay|hs_code|description_pickingout|description_pickingin|description_picking|intrastat_origin_country_id
AMT-P3011-C20-SAT|"PRODUCTO SAT 6,55"" sensor capact. proyectado 1,7 m"|Embalaje: 7|Sí|Sí|No|product|62,05128|40,33333|http://server7/qr-almacen/?ref=AMT-P3011-C20-SAT&token=69c71a2821bef285169504a00a32eb55||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|FIRMWARE 2201.2.3.0|1|year|62|day|Sí|www.amtouch.com.tw|40465|No|0|No|none|0|84733080|MONO/Stock||Comprar|||||||||||||||||
BC2ESDV-03-P-SAT|PRODUCTO SAT CONECTOR HEMBRA TRES PINS ALIMENTACIO|Embalaje: 10|Sí|Sí|No|product|1,24338|0,8082|http://server7/qr-almacen/?ref=BC2ESDV-03-P-SAT&token=1f0081d94d2488111db66e664463ddd0||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|BC2ESDV-03-P||year|22|day|Sí|www.cenvalsa.es|40797|No|0|No|none|0|85369010|MONO/Stock||Comprar|||||||||||||||||
BCEC350VM-02-P-SAT|PRODUCTO SAT CONECTOR 2 PINS HEMBRA PASO 3.50 CON |Embalaje: 10|Sí|Sí|No|product|1,45692|0,947|http://server7/qr-almacen/?ref=BCEC350VM-02-P-SAT&token=bdcec710fa84ae3e1bcd2feb41f26b49||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|BCEC350VM-02-P||year|22|day|Sí|www.cenvalsa.es|40797|No|0|No|none|0|85369010|MONO/Stock||Comprar|||||||||||||||||
BCECH350RM-02-P-SAT|PRODUCTO SAT CONECTOR MACHO 2 PINS PASO 3.50 ACODA|Embalaje: 50|Sí|Sí|No|product|1,32308|0,86|http://server7/qr-almacen/?ref=BCECH350RM-02-P-SAT&token=7d31623b96124b9737645a9d1078414e||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|BCECH350RM-02-P||year|22|day|Sí|www.cenvalsa.es|40797|No|0|No|none|0|85369010|MONO/Stock||Comprar|||||||||||||||||
BPROSV0500LW-Z1|RENOVACION ANUAL SERVICIO BNERGY PRO 500MB/MES Z1||Sí|Sí|No|product|231,90769|150,74|http://server7/qr-almacen/?ref=BPROSV0500LW-Z1&token=6075da4d831c9afc6e42b553012c49fd|CONECTIVIDAD + PLATAFORMA|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD + PLATAFORMA||No|BPROSV0500LW-Z1||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CABLE-LVDS-HELIX/125-SAT|PRODUCTO SAT CABLE LVDS WAFER-PV-N4552 HELIX 125CM||Sí|Sí|No|product|35,58462|23,13|http://server7/qr-almacen/?ref=CABLE-LVDS-HELIX-125-SAT&token=2ff48e9cda5b5de4ddf4de77e8301447||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|CABLE-LVDS-HELIX/125||year|26|day|Sí||40793|No|0|No|none|0|85444290|MONO/Stock||Comprar|||||||||||||||||
CABLE-RESET/CARD-5-SAT|PRODUCTO SAT CABLE Y PULSADOR RESET CARD5||Sí|Sí|No|product|3,60615|2,344|http://server7/qr-almacen/?ref=CABLE-RESET-CARD-5-SAT&token=61ae1b153a6c96765e1ce468074db051||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|CABLE-RESET/CARD-5||year|14|day|Sí|www.ccmelectronic.com|40835|No|0|No|none|0|84733080|MONO/Stock||Comprar|||||||||||||||||
CCMONET12GBPT-USACANADA|SERVICIO CCONNECTIVITY NET ANUAL 12GB USA+CANADA||Sí|Sí|No|product|48|31,2|http://server7/qr-almacen/?ref=CCMONET12GBPT-USACANADA&token=858344296d2a4348874ccd6651a15e87|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CCMONET12GBPT-USACANADA||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CCMONET1GBPT-Z1|SERVICIO CCONNECTIVITY NET ANUAL 1GB 10SMS EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CCMONET1GBPT-Z1&token=c8a86889847fc79b640536bf6226ed18|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CCMONET1GBPT-Z1|2|year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CCMONET1GBPT-Z2|SERVICIO CCONNECTIVITY NET ANUAL 1GB 10SMS AMERICA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CCMONET1GBPT-Z2&token=cefd7c12f31f262cc88e36908675acd8|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CCMONET1GBPT-Z2||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CCMONET72GBPT-USACANADA|SERVICIO CCONNECTIVITY NET ANUAL 72GB USA+CANADA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CCMONET72GBPT-USACANADA&token=1e46e1870d836fde19f22205074c3c02|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CCMONET72GBPT-USACANADA||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CCMOU65NET12GBPT-Z1|CONECTIVIDAD 12GB/AÑO EUROPA & INSTALACION UG65||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CCMOU65NET12GBPT-Z1&token=12c47f839051deb64685d24a42a5a5e9|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CCMOU65NET12GBPT-Z1|2|year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CCMOU65NET6GBPT-Z1|CONECTIVIDAD 6GB/AÑO EUROPA & INSTALACION UG65||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CCMOU65NET6GBPT-Z1&token=b7691c3b1449dd6ab7e826e2ef61764d|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CCMOU65NET6GBPT-Z1||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CCMOVPN1GBWL-Z1|SERVICIO CCONNECTIVITY VPN 1GB/AÑO EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CCMOVPN1GBWL-Z1&token=27b19fecc6fc3a0dfd13cdbf4c4c662c|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CCMOVPN1GBWL-Z1|2|year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CGS0124-LWSM_5M107|SOLUCION BNERGY LITE 5xAM107 GATEWAY PLATAFORMA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CGS0124-LWSM_5M107&token=b5ccfe84879d418ce0f81d60e2e0e463|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CGS0124-LWSM_5M102||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CGS0124-LWSM_5M300TH|SOLUCION BNERGY LITE 5xEM300-TH GATEWAY PLATAFORMA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CGS0124-LWSM_5M300TH&token=3f1678b7937e341d3190a0f0edf4cf18|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CGS0124-LWSM_5M300||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CGS0124-LWSM_LITE|SOLUCION BNERGY LITE SMART GATEWAY CON PLATAFORMA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CGS0124-LWSM_LITE&token=43cc86015b5d8f1a6099d6c5bfbee727|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CGS0124-LWSM_LITE|2|year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CGS0124-LWSM_PRO|SOLUCION BNERGY PRO SMART GATEWAY PLATAFORMA CRD||Sí|Sí|No|product|1396,25894|907,56831|http://server7/qr-almacen/?ref=CGS0124-LWSM_PRO&token=7e6a403cbcd89f69cb28fe4e672851ca|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CGS0124-LWSM_PRO||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CGS0124-LWSMC500Z1_5M104|SOLUCION BNERGY PRO 5xAM104 GATEWAY PLATAFORMA CRD||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CGS0124-LWSMC500Z1_5M104&token=de6fd55d86a56e559f592da3c64b4bf4|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CGS0124-LWSMC500Z1_5M100||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CGS0124-LWSMC500Z1_5M107|SOLUCION BNERGY PRO 5xAM107 GATEWAY PLATAFORMA CRD||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CGS0124-LWSMC500Z1_5M107&token=fa387dc3af878bdd68e272ec5ca52580|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CGS0124-LWSMC500Z1_5M102||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CGS0124-LWSMC500Z1_5M300TH|SOLUCION BNERGY PRO 5xEM300TH GW PLATAFORMA CRD||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CGS0124-LWSMC500Z1_5M300TH&token=98921303beb0b3ce09c0871d9cd6efe3|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CGS0124-LWSMC500Z1_5M300||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CHASIS-PPC-065-PCAP/FG-SAT|"PRODUCTO SAT CHASIS PANEL PC 6,5"" NEG OPEN FRAME P"||Sí|Sí|No|product|60,51556|45,38667|http://server7/qr-almacen/?ref=CHASIS-PPC-065-PCAP-FG-SAT&token=36e2e4199d4456679aba7f91b6b14fe8||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|9081.00.00||year|35|day|Sí|www.tmbosch.com|40810|No|0|No|none|0|84733080|MONO/Stock||Comprar|||||||||||||||||
CINTA-ADHESIVA-DC/2MM-SAT|PRODUCTO SAT CINTA ADHESIVA DOBLE CARA 2MM FIJACIO||Sí|Sí|No|product|0,67811|0,44077|http://server7/qr-almacen/?ref=CINTA-ADHESIVA-DC-2MM-SAT&token=926087276759391ded769469b0c86ea6||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|ADHESSIVE STRIPS FOR FIXING|1|year|60|day|Sí|www.winmate.com.tw|40180|No|0|No|none|0|39191080|MONO/Stock||Comprar|||||||||||||||||
CMBNETDATO0100PT-Z1|PAQUETE DATOS COMBO NET 100MB ZONA EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBNETDATO0100PT-Z1&token=de8b32b3582ffcf95f8a3214273d3490|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CMBNETDATO0100PT-Z1|2|year|22|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBNETDATO1000PT-Z1|PAQUETE DATOS COMBO NET 1GB ZONA 1 EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBNETDATO1000PT-Z1&token=74356213122aed12b435ab63d3e8184d|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CMBNETDATO5000PT-Z1|2|year|0|day|Sí|www.iotprojects.io|41662|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBNETSV0500PT-Z1/1Y|RENOVACION ANUAL COMBO Net 500MB ZONA EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBNETSV0500PT-Z1-1Y&token=95140345f8447a7285863b32c91a9d32|CONECTIVIDAD + PLATAFORMA|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD + PLATAFORMA||No|CMBNETSV0500PT-Z1|2|year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBNETSV0500PT-Z2/1Y|RENOVACION ANUAL COMBO Net 500MB ZONA AMERICA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBNETSV0500PT-Z2-1Y&token=dfc84f5c86e7e11399ae430e8a9813e4|CONECTIVIDAD + PLATAFORMA|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD + PLATAFORMA||No|CMBNETSV0500PT-Z2/1Y||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBNETSV5000PT-Z1/1Y|RENOVACION ANUAL COMBO Net 5GB ZONA EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBNETSV5000PT-Z1-1Y&token=a28aa934d7d15aa2aed6f4cbbafaea57|CONECTIVIDAD + PLATAFORMA|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD + PLATAFORMA||No|CMBNETSV5000PT-Z1||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBNETSV5000PT-Z2/1Y|RENOVACION ANUAL COMBO Net 5GB ZONA AMERICA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBNETSV5000PT-Z2-1Y&token=c1de02af3d9ff3a2bfbd3aad77c7e55b|CONECTIVIDAD + PLATAFORMA|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD + PLATAFORMA||No|CMBNETSV5000PT-Z2/1Y||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBNETTA3G0500PT-Z1|SOLUCION COMBO Net ROUTER 3G 500MB ZONA EUROPA||Sí|Sí|No|product|134,64|87,516|http://server7/qr-almacen/?ref=CMBNETTA3G0500PT-Z1&token=51cb9438355b61e58cace43741b209c0|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CMBNETTA3G0500PT-Z1||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBNETTA3G0500PT-Z2|SOLUCION COMBO Net ROUTER 3G 500MB ZONA AMERICA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBNETTA3G0500PT-Z2&token=56023b031576437cb8f6218aebef4240|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CMBNETTA3G0500PT-Z2||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBNETTA3G5000PT-Z1|SOLUCION COMBO Net ROUTER 3G 5GB ZONA EUROPA||Sí|Sí|No|product|211,58|137,527|http://server7/qr-almacen/?ref=CMBNETTA3G5000PT-Z1&token=f31b065db22e948c26ef64d90725df1a|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CMBNETTA3G5000PT-Z1||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBNETUK32W4G5000PT-Z1|SOLUCION COMBO Net ROUTER 4G WIFI 5GB ZONA EUROPA||Sí|Sí|No|product|274,267907692308|178,27414|http://server7/qr-almacen/?ref=CMBNETUK32W4G5000PT-Z1&token=3e7246fc3215f33deae67df8e234e627|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CMBNETUK324G5000PT-Z1|2|year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBNETUK32W4G5000PT-Z2|SOLUCION COMBO Net ROUTER 4G WIFI 5GB ZONA AMERICA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBNETUK32W4G5000PT-Z2&token=a0f89fb52fb7478942e12b80d4b9a2a1|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CMBNETUK32W4G5000PT-Z2||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBVPNDATO3000WL-EU|AMPLIACION DATOS COMBO VPN 250MB/MES EUROPA 1 AÑO||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBVPNDATO3000WL-EU&token=afbac290002feeaf7956aa213f88a05d|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CMBVPNDATO3000WL-EU||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBVPNSV3000WL-EU/1Y|SERVICIO ANUAL COMBO VPN 250MB/MES EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBVPNSV3000WL-EU-1Y&token=7b7e0b0728a88f7dad63e371694509f9|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CMBVPNSV3000WL-EU/1Y||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBVPNSV6000WL-EU/1Y|SERVICIO ANUAL COMBO VPN 500MB/MES EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBVPNSV6000WL-EU-1Y&token=4463e4ca0a208931ae92ba0c41204933|CONECTIVIDAD|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD||No|CMBVPNSV6000WL-EU/1Y||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBVPNUK324G3000WL-EU|SOLUCION COMBO VPN 4G 250MB/MES EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBVPNUK324G3000WL-EU&token=b9664d3f3437e6ccb94729d15c4fb52a|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CMBVPNUK324G3000WL-EU||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBVPNUK324G3000WL-UE|SOLUCION COMBO VPN 4G 250MB/MES USA&EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBVPNUK324G3000WL-UE&token=35d0a8d6066f75df74f8dbe39de74b9b|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CMBVPNUK324G3000WL-UE||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CMBVPNUK324G6000WL-EU|SOLUCION COMBO VPN 4G 500MB/MES EUROPA||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CMBVPNUK324G6000WL-EU&token=95b43ff25a640925ec569aca15b2c581|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CMBVPNUK324G6000WL-EU||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CONFIG-SENSOR-BNERGY|CONFIGURACION SENSOR EN PLATAFORMA BNERGY||Sí|Sí|No|product|10,5|6,825|http://server7/qr-almacen/?ref=CONFIG-SENSOR-BNERGY&token=84181bfac83a815db3bfead57dd465a5|CONFIGURACION|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONFIGURACION||No|CONFIG-SENSOR-BNERGY||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CONNECTIVITY-ASSISTANCE|Servicio Configuración Remota (por hora)||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=CONNECTIVITY-ASSISTANCE&token=307fa067252ea0b41e4c177b5da59102|CONFIGURACION|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONFIGURACION||No|SERV-EXPRESS-CONFIG-ROUTER||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CRDSV0250LW-Z1|SERVICIO EXTENSIÓN ANUAL CRD 250 MB/MES ZONA 1||Sí|Sí|No|product|146,92308|95,5|http://server7/qr-almacen/?ref=CRDSV0250LW-Z1&token=6978d5538ad1bbcf67c4593828f17eeb|CONECTIVIDAD + PLATAFORMA|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD + PLATAFORMA||No|CRDSV0250LW-Z1||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CRDSV0500LW-Z1|SERVICIO EXTENSIÓN ANUAL CRD 500 MB/MES ZONA 1||Sí|Sí|No|product|202,30769|131,5|http://server7/qr-almacen/?ref=CRDSV0500LW-Z1&token=571f744f028e2b4415b913555fb1c6f9|CONECTIVIDAD + PLATAFORMA|INDUSTRIAL IOT|SERVICIOS IOT|SERVICIO|CONECTIVIDAD + PLATAFORMA||No|CRDSV0500LW-Z1||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
CRDTA3G0250LW-Z1|Control Remoto de Dispositivos 3G||Sí|Sí|No|product|264,27231|171,777|http://server7/qr-almacen/?ref=CRDTA3G0250LW-Z1&token=6570e0fb36d0551f9d05decc4b827ca2|HARDWARE CONECTADO|INDUSTRIAL IOT|EQUIPOS IOT|HARDWARE CONECTADO|||No|CRDTA3G0250LW-Z1||year|15|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
