"unique_code"|"subject"|"date"|"author_id"|"res_id"|"res_model"|"message_type"|"body"
"16"|"Cliente"|"2021-07-08 00:00:00"|"Alex Medialdea"|"101532"|"res.partner"|"comment"|"solicitado 6k de cobertura primaria. Quedamos a la espera. nos deniegan la cobertua. "
"17"|"Cliente"|"2021-11-19 00:00:00"|"Núria Soler"|"101538"|"res.partner"|"comment"|"almacen cerrado por inventarios a partir del 10 de diciembre hasta el 02/01/22 "
"18"|"Cliente"|"2021-07-09 00:00:00"|"Núria Soler"|"101612"|"res.partner"|"comment"|"cerrados por vacaciones del 09 al 20 de agost "
"19"|"Cliente"|"2021-07-01 00:00:00"|"Alex Medialdea"|"101623"|"res.partner"|"comment"|"renovamos una linea temporal de 60k hasta el 30/09. "
"20"|"Cliente"|"2021-10-04 00:00:00"|"Alex Medialdea"|"101623"|"res.partner"|"comment"|"no renovamos la línea temporal de 60k por no ser necesario. Queda con una cobertura primaria de 60k. "
"21"|"Cliente"|"2021-09-03 00:00:00"|"Alex Medialdea"|"101883"|"res.partner"|"comment"|"solicitamos CCAA, nos pasan las del cierre a 31.03.19. Después de gestionarlo con Romina, obtenemos 20k de cobertura primaria. Pendiente que nos hagan llegar la solicitud de crédito firmada y sellada. Hemos solicitado al equipo comercial que luche porque el pago sea a 30 días. "
"22"|"Cliente"|"2021-07-08 00:00:00"|"Alex Medialdea"|"101918"|"res.partner"|"comment"|"solicito aumento de cobertura a 60k. Quedamos a la espera. No lo conceden. "
"23"|"Cliente"|"2021-07-05 00:00:00"|"Alex Medialdea"|"101962"|"res.partner"|"comment"|"sociedad extinguida. "
"24"|"Cliente"|"2021-09-15 00:00:00"|"Alex Medialdea"|"102052"|"res.partner"|"comment"|"revisamos CCAA 2020 y solicitamos aumento de 25k a 45k, que nos conceden al instante. "
"25"|"Cliente"|"2021-07-14 00:00:00"|"Núria Soler"|"102108"|"res.partner"|"comment"|"cerrados por vacaciones del 09 al 15 de agosto "
"26"|"Cliente"|"2021-09-15 00:00:00"|"Cristina Torres"|"102108"|"res.partner"|"comment"|"solicitamos aumento hasta los 160k° y dan ok "
"27"|"Cliente"|"2021-10-14 00:00:00"|"Alex Medialdea"|"102245"|"res.partner"|"comment"|"nos hacen llegar las CCAA 2020 y solicitamos 10k de cobertura primaria, que nos conceden. "
"28"|"Cliente"|"2021-11-18 00:00:00"|"Cristina Torres"|"102250"|"res.partner"|"comment"|"SUBIMOS DE 210K° A 300K° "
"29"|"Cliente"|"2021-11-09 00:00:00"|"Cristina Torres"|"102275"|"res.partner"|"comment"|"ojo clientes con retrasos en todos los cobros "
"30"|"Cliente"|"2021-08-22 00:00:00"|"Alex Medialdea"|"102333"|"res.partner"|"comment"|"retiran cobertuda de 10k por CCAA 2020 con pérdidas. "
"31"|"Cliente"|"2021-11-18 00:00:00"|"Núria Soler"|"102419"|"res.partner"|"comment"|"cerrado por vacaciones de Navidad del 20 de dciembre (ultimo dia de recepcion de material) al 2 de enero "
"32"|"Cliente"|"2021-09-15 00:00:00"|"Cristina Torres"|"102436"|"res.partner"|"comment"|"aumentamos primaria hasta 25k° "
"33"|"Cliente"|"2021-09-10 00:00:00"|"Alex Medialdea"|"102507"|"res.partner"|"comment"|"reducen cobertura de 85k a 20k por comportamiento de pagos. "
"34"|"Cliente"|"2021-11-09 00:00:00"|"Cristina Torres"|"102859"|"res.partner"|"comment"|"BLOQUEAMOS POR FALTA DE PAGO "
"35"|"Cliente"|"2021-07-19 00:00:00"|"Cristina Torres"|"102923"|"res.partner"|"comment"|"grade 03 "
"36"|"Cliente"|"2021-07-07 00:00:00"|"Alex Medialdea"|"103317"|"res.partner"|"comment"|"solicitamos 30k de cobertura, toda vez las CCAA 2019 son mucho mejores. nos conceden los 30k de cobertura "
"37"|"Cliente"|"2021-07-29 00:00:00"|"Cristina Torres"|"103340"|"res.partner"|"comment"|"negociamos para pedido nuevo 30% contado y 70% tr 30d. "
"38"|"Cliente"|"2021-06-03 00:00:00"|"Alex Medialdea"|"103539"|"res.partner"|"comment"|"solicitamos aumentar cobertura a 8k para encajar nuevo pedido, que nos conceden al instante. "
"39"|"Cliente"|"2021-10-19 00:00:00"|"Alex Medialdea"|"103539"|"res.partner"|"comment"|"solicitamos aumentar a 20k, pero solo nos conceden subir hasta 10k. solicitamos 9k de CAP para complementar los 10k de cobertura primaria. "
"40"|"Cliente"|"2021-10-21 00:00:00"|"Alex Medialdea"|"103539"|"res.partner"|"comment"|"nos conceden los 9k de CAP, para una cobertura total de 19k (10+9). "
"41"|"Cliente"|"2021-07-08 00:00:00"|"Alex Medialdea"|"103550"|"res.partner"|"comment"|"soliciamos aumento de cobertura primaria de 21k a 35k. Quedamos a la espera. nos condeden el aumento a 35k de primaria. "
"42"|"Cliente"|"2021-06-08 00:00:00"|"Alex Medialdea"|"103551"|"res.partner"|"comment"|"hemos notificado el aviso por falta de pago a Solunion. "
"43"|"Cliente"|"2021-08-22 00:00:00"|"Alex Medialdea"|"103551"|"res.partner"|"comment"|"con fecha 06/08/21 se notifica la insolvencia Solunion. con fecha 11/08 retiran la cobertura de 30k. "
"44"|"Cliente"|"2021-08-24 00:00:00"|"Alex Medialdea"|"103765"|"res.partner"|"comment"|"aumentamos el anónimo a 5k para encajar nuevo pedido. Hemos revisado CCAA 2019 y son buenas. "
"45"|"Cliente"|"2021-07-19 00:00:00"|"Núria Soler"|"103867"|"res.partner"|"comment"|"cerrado por vacaiones del 7 al 22 de Agosto "
"46"|"Cliente"|"2021-07-23 00:00:00"|"Alex Medialdea"|"103971"|"res.partner"|"comment"|"conceden cobertura primaria de 12k "
"47"|"Cliente"|"2021-10-11 00:00:00"|"Jordi Gutiérrez"|"103976"|"res.partner"|"comment"|"La contraseña de acceso ha cambiado a  CONTRASEÑA: Monolitic1983$a "
"48"|"Cliente"|"2021-07-22 00:00:00"|"Núria Soler"|"104035"|"res.partner"|"comment"|"Cerrado por vacaciones de verano del 09 al 26 de agosto "
"49"|"Cliente"|"2021-08-25 00:00:00"|"Alex Medialdea"|"104035"|"res.partner"|"comment"|"solicitamos CAP de 11k para aumentar cobertura. nos conceden el CAP de 11k. Cobertura actual 22k (11k+11k). "
"50"|"Cliente"|"2021-10-19 00:00:00"|"Alex Medialdea"|"104045"|"res.partner"|"comment"|"cese de actividad "
"51"|"Cliente"|"2021-06-09 00:00:00"|"Cristina Torres"|"104134"|"res.partner"|"comment"|"FV21/1494 de forma extraordinaria damos 60d. de más por un tema de entregas en esta factura "
"52"|"Cliente"|"2021-06-14 00:00:00"|"Alex Medialdea"|"104168"|"res.partner"|"comment"|"aumentamos cobertura a 11k. "
"53"|"Cliente"|"2021-07-07 00:00:00"|"Alex Medialdea"|"104183"|"res.partner"|"comment"|"subimos el anónimo para encajar nuevo pedido. "
"54"|"Cliente"|"2021-08-30 00:00:00"|"Cristina Torres"|"104216"|"res.partner"|"comment"|"aumentamos cobertura de 10k° a 20k° "
"55"|"Cliente"|"2021-10-25 00:00:00"|"Cristina Torres"|"104329"|"res.partner"|"comment"|"obtenemos línea de 20k° "
"56"|"Cliente"|"2021-08-24 00:00:00"|"Alex Medialdea"|"104366"|"res.partner"|"comment"|"autorizamos nuevo pedido. Para oct'21 habrá que pedir cobertura primaria de unos 16k, hemos revisado las cuentas de 2020 y son buenas. "
"57"|"Cliente"|"2021-10-27 00:00:00"|"Alex Medialdea"|"104366"|"res.partner"|"comment"|"solicitamos 18k de cobertura, que nos conceden al instante. "
"58"|"Cliente"|"2021-09-02 00:00:00"|"Alex Medialdea"|"104387"|"res.partner"|"comment"|"bloqueo por retraso del pago factura. "
"59"|"Cliente"|"2021-06-18 00:00:00"|"Cristina Torres"|"104403"|"res.partner"|"comment"|"según indicacion de comercial : 11k° m. diciembre y 5k° septiembre. Mantenemos anónimo y valorar si con datos oficiales 20 para la entrega de diciembre solicitar línea subimos provisionales 2020 a ficha "
"60"|"Cliente"|"2021-10-19 00:00:00"|"Alex Medialdea"|"104411"|"res.partner"|"comment"|"Se comenta al comercial que no aceptamos RB a 60 días con fecha de pago 15. Finalmente se acuerda RB a 60 días sin fecha de pago. "
"61"|"Cliente"|"2021-08-27 00:00:00"|"Alex Medialdea"|"104472"|"res.partner"|"comment"|"concedemos 6k de anónimo para pedido, con condiciones de pago 50% a la avanzada y 50% RB a 60 días. "
"62"|"Cliente"|"2021-09-02 00:00:00"|"Alex Medialdea"|"104489"|"res.partner"|"comment"|"bloque por devolución de recibos. "
"63"|"Cliente"|"2021-11-30 00:00:00"|"Cristina Torres"|"104495"|"res.partner"|"comment"|"se acuerda con el cliente 20% contado 80% 60dias "
"64"|"Cliente"|"2021-06-29 00:00:00"|"Cristina Torres"|"104497"|"res.partner"|"comment"|"AUEMNTAMOS COBERTURA HASTA LOS 20K° "
"65"|"Cliente"|"2021-10-07 00:00:00"|"Cristina Torres"|"104508"|"res.partner"|"comment"|"NOTIFICAMOS AL CLIENTE POR CORREO QUE PRIMERA OPERACIÓN A 30D "
"66"|"Cliente"|"2021-10-14 00:00:00"|"Núria Soler"|"110155"|"res.partner"|"comment"|"Ultimo dia de entrada de material 22/12/21 hasta las 5:30. entregas y fcturas posteriores deben tener fecha 2022 "
"67"|"Cliente"|"2021-11-18 00:00:00"|"Núria Soler"|"110155"|"res.partner"|"comment"|"Ultimo dia de entrada de material 22/12/22 hasta las 5:30. entregas y fcturas posteriores deben tener fecha 2023 "
"68"|"Cliente"|"2021-09-14 00:00:00"|"Cristina Torres"|"110329"|"res.partner"|"comment"|"ampliamos límite hasta 300k° "
"69"|"Cliente"|"2021-07-15 00:00:00"|"Alex Medialdea"|"110472"|"res.partner"|"comment"|"actualmente hay una cobertura de 38.5k (21k primaria +17.5k CAP). Preguntamos a AVACAS si podemos cancelar CAP y nos da el ok. "
"70"|"Cliente"|"2021-10-05 00:00:00"|"Alex Medialdea"|"120168"|"res.partner"|"comment"|"solicitamos aumentar de 30k a 45k para cubrir pedidos. Nos lo conceden al instante. "
"71"|"Cliente"|"2021-09-09 00:00:00"|"Cristina Torres"|"120333"|"res.partner"|"comment"|"aumentamos riesgo de 30k° a 55k° según datos 2020 grade 02 "
"72"|"Cliente"|"2021-08-30 00:00:00"|"Alex Medialdea"|"120348"|"res.partner"|"comment"|"retiran la cobertura por CCAA 2020 con pérdidas y deterioro del estado financiero. "
"73"|"Cliente"|"2021-09-27 00:00:00"|"Jordi Sánchez"|"120404"|"res.partner"|"comment"|"SUBIR FACTURAS A PLATAFORMA "
"74"|"Cliente"|"2021-11-10 00:00:00"|"Jordi Sánchez"|"120404"|"res.partner"|"comment"|"https://factura.conselleriadefacenda.es/eFactura_web/irInicio.do "
"75"|"Cliente"|"2021-07-05 00:00:00"|"Alex Medialdea"|"140029"|"res.partner"|"comment"|"nos conceden cobertura primaria de 6k. "
"76"|"Cliente"|"2021-09-08 00:00:00"|"Alex Medialdea"|"150099"|"res.partner"|"comment"|"solicitamos aumento de 60k a 90k por pedido PV79347. Nos la conceden al instante. "
"77"|"Proveedor"|"2021-11-02 00:00:00"|"OdooBot"|"40729"|"res.partner"|"comment"|"Nueva contraseña: Monoquectel2021bcn Nuevo user: ateotino@monolitic.com Nueva contraseña: Monoquectel2021bcn Nueva contraseña:Monoquectel2022bcn "
"78"|"Proveedor"|"2021-11-03 00:00:00"|"Cristina Torres"|"40774"|"res.partner"|"comment"|"LINEA 50K° NEGOCIADA CON PROVEEDOR "
"79"|"Proveedor"|"2021-09-20 00:00:00"|"Aina Servent"|"40795"|"res.partner"|"comment"|"Esta empresa es para pedidos no superiores a 500RMB "
"80"|"Proveedor"|"2021-09-20 00:00:00"|"Aina Servent"|"41085"|"res.partner"|"comment"|"Dar de baja "
"81"|"Proveedor"|"2021-06-11 00:00:00"|"Roger Relats"|"41243"|"res.partner"|"comment"|"Customer No.: 10583 E-Mail: compras@monolitic.com Password: (lo tiene RamÃ³n) "
"82"|"Proveedor"|"2021-06-11 00:00:00"|"David Ruiz"|"41243"|"res.partner"|"comment"|"Password: lmT3FspY "
"83"|"Proveedor"|"2021-06-21 00:00:00"|"Cristina Torres"|"41418"|"res.partner"|"comment"|"SE OBTIENE CRÉDITO POR 30KUSD Y 30D. FF "
"84"|"Proveedor"|"2021-09-20 00:00:00"|"Aina Servent"|"41782"|"res.partner"|"comment"|"Esta empresa es para pedidos superiores a 500RMB "
"85"|"Producto"|"2021-09-14 00:00:00"|"Roger Relats"|"125530065A"|"product.template"|"comment"|" "
"86"|"Producto"|"2021-06-08 00:00:00"|"Roger Relats"|"1255900849"|"product.template"|"comment"|"(TF)Adapter.AC/DC.Input 90V~264V.Output 12V/84W.3p phoenix.FSP.FSP084-DHAN3(9NA0840718) "
"87"|"Producto"|"2021-06-30 00:00:00"|"Roger Relats"|"170910020K"|"product.template"|"comment"|"(TF)USB2.0 Cable.2xUSB type A.2*5P p=2.54mm Housing.200mm.w/o bracket.HO-BASE.USB-0810025AS "
"88"|"Producto"|"2021-07-30 00:00:00"|"OdooBot"|"5GMMWAVEEVB-KIT"|"product.template"|"comment"|"El kit debe complementarse con el módulo RM510Q-GL "
"89"|"Producto"|"2021-07-30 00:00:00"|"OdooBot"|"5GMMWAVELPEVB-KIT"|"product.template"|"comment"|"Debe comprarse con el RM510Q-GL "
"90"|"Producto"|"2021-11-23 00:00:00"|"Roger Relats"|"63040-010060-211-RS"|"product.template"|"comment"|" "
"91"|"Producto"|"2021-06-29 00:00:00"|"David Ruiz"|"880202181030"|"product.template"|"comment"|"Es necesario notificar a LITEMAX sobre qué unidades aplicamos y utilizamos este repuesto, informando del número de serie de la unidad afectada en garantía. "
"92"|"Producto"|"2021-11-19 00:00:00"|"Aina Servent"|"8901796022W"|"product.template"|"comment"|"Nos dejan comprar 3910pcs "
"93"|"Producto"|"2021-08-03 00:00:00"|"OdooBot"|"AM100-868"|"product.template"|"comment"|"Producto alternativo AM104-868 "
"94"|"Producto"|"2021-10-04 00:00:00"|"Aina Servent"|"AMT-P3010-C20"|"product.template"|"comment"|"EOL 5,7"" "
"95"|"Producto"|"2021-10-18 00:00:00"|"OdooBot"|"BC68JA-02-STD"|"product.template"|"comment"|"El módulo pasa a EOL, se puede encontrar más información en el documento info producto en Adjutnos "
"96"|"Producto"|"2021-10-18 00:00:00"|"OdooBot"|"BC95GJB-02-STD"|"product.template"|"comment"|"Módulo en EOL, se puede encontrar más información en el documento info de producto en Adjuntos "
"97"|"Producto"|"2021-10-19 00:00:00"|"OdooBot"|"BC95GJB-02-STD"|"product.template"|"comment"|"MÓDULO ALTERNATIVO BC95GVBA-I01-CNASA "
"98"|"Producto"|"2021-09-01 00:00:00"|"OdooBot"|"BG95M3LA-64-SGNS"|"product.template"|"comment"|"vIGILAR CON LA VERSIÓN DE FW YA QUE SE VA A EMPEZAR A ENVIAR ESTA VERSIÓN Y BG95M3LAR-64-SGNS A PARTIR (15/08/2021)->Má info en adjuntos PCN "
"99"|"Producto"|"2021-10-13 00:00:00"|"Aina Servent"|"CABLE-COMBO-PH10276-I50V10"|"product.template"|"comment"|"No comprar este cable más "
"100"|"Producto"|"2021-07-28 00:00:00"|"OdooBot"|"CA-SCSI15"|"product.template"|"comment"|"PRODUCTO ALTERNATIVO CA-SCSI15-H3 "
"101"|"Producto"|"2021-07-01 00:00:00"|"Aina Servent"|"COMBO-PH10276-I50V10-PD"|"product.template"|"comment"|"Avisar a PM , es una alternativa de panel pc CABLE-COMBO-PH10276-I50V10 El usuario ASERVENT ha marcado este producto como crítico "
"102"|"Producto"|"2021-10-13 00:00:00"|"Aina Servent"|"COMBO-PH10276-I50V10-PD"|"product.template"|"comment"|"El usuario ASERVENT ha indicado que este producto ya no es crítico "
"103"|"Producto"|"2021-06-18 00:00:00"|"Roger Relats"|"DEMSR-32GD06SW2QC"|"product.template"|"comment"|"Este modelo puede que vaya llegando con p/n de proveedor como DEMSR-32GM41BW1DC. No es un error ya que es compatible. La ref. DEMSR-32GD06SW2QC original es EOl pero no puedo bloquearlo porque hay sotck, pedidos de compra y de venta activos y por tanto no puedo realizar los cambios oportunos. "
"104"|"Producto"|"2021-07-21 00:00:00"|"Aina Servent"|"DLD1015-ANB-Q01-ROOM"|"product.template"|"comment"|"El usuario ASERVENT ha indicado que este producto ya no es crítico "
"105"|"Producto"|"2021-07-21 00:00:00"|"Aina Servent"|"DLH1015-ANN-Q01-ROOM"|"product.template"|"comment"|"El usuario ASERVENT ha indicado que este producto ya no es crítico "
"106"|"Producto"|"2021-09-13 00:00:00"|"OdooBot"|"EC21ECGA-128-SNNS"|"product.template"|"comment"|"Producto EOL, Sustituto: EC21ECGR-128-SNNS Nuevo alternativo: EC21EUXGR-128-SGNS "
"107"|"Producto"|"2021-09-13 00:00:00"|"OdooBot"|"EC21ECGA-MINIPCIE"|"product.template"|"comment"|"EOL. Referencia alternativa: EC21ECGR-MINIPCIE Aternativo EC21EUXGR-MINIPCIE "
"108"|"Producto"|"2021-09-01 00:00:00"|"OdooBot"|"EC21EUXGA-128-SGNS"|"product.template"|"comment"|"CAMBIAR A MODELO EC21EUXGR-128-SGNS (EOL en pestaña Adjuntos) "
"109"|"Producto"|"2021-09-01 00:00:00"|"OdooBot"|"EC21EUXGA-MINIPCIE"|"product.template"|"comment"|"CAMBIAR A MODELO EC21EUXGR-MINIPCIE (EOL en pestaña Adjuntos) "
"110"|"Producto"|"2021-09-03 00:00:00"|"Carles García"|"EM3870A"|"product.template"|"comment"|"Producto sustitutivo EM3879B "
"111"|"Producto"|"2021-08-03 00:00:00"|"OdooBot"|"EM500-SMT-EC5-868"|"product.template"|"comment"|"Utilizar referencia EM500-SMT-868M-EC5 "
"112"|"Producto"|"2021-10-08 00:00:00"|"Roger Relats"|"EPIC-BT07-A10-0005"|"product.template"|"comment"|"El usuario RRELATS ha indicado que este producto ya no es crítico "
"113"|"Producto"|"2021-10-08 00:00:00"|"Roger Relats"|"EPIC-BT07-HSK01"|"product.template"|"comment"|"Metal, Al, Heat Sink, 165*95*14mm, Silver, EPIC-BT07 "
"114"|"Producto"|"2021-07-21 00:00:00"|"OdooBot"|"ESP32-C3-DEVKITM-1"|"product.template"|"comment"|"MÁS INFO: https://docs.espressif.com/projects/esp-idf/en/latest/esp32c3/hw-reference/esp32c3/user-guide-devkitm-1.html "
"115"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-DEVKITC"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"116"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-DEVKITC-32D"|"product.template"|"comment"|"LTB propuesto por Monolitic a recomendación del fabricante "
"117"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-DEVKITC-32U"|"product.template"|"comment"|"Alternativo ESP32-DEVKITC-32UE EOL propuesto por Monolitic a recomendación del fabricante "
"118"|"Producto"|"2021-07-21 00:00:00"|"OdooBot"|"ESP32-DEVKITC-32UE"|"product.template"|"comment"|"Más información: https://docs.espressif.com/projects/esp-idf/en/latest/esp32/hw-reference/esp32/get-started-devkitc.html "
"119"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-DEVKITC-MUE"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"120"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-DEVKITV-32U"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"121"|"Producto"|"2021-07-21 00:00:00"|"OdooBot"|"ESP32-S2-WROOM-HIGHTEMP"|"product.template"|"comment"|"PRODUCTO ALTERNATIVO ESP32-S2-SOLO_HIGHTEMP EOL propuesto por monolitic a recomendación del fabricante "
"122"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"123"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32_16MB"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"124"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32_8MB"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"125"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32D"|"product.template"|"comment"|"LTB propuesto por Monolitic a recomendación del fabricante "
"126"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32D_16MB"|"product.template"|"comment"|"LTB propuesto por Monolitic a recomendación del fabricante "
"127"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32D_8MB"|"product.template"|"comment"|"LTB propuesto por Monolitic a recomendación del fabricante "
"128"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32D_HIGH_TEMP"|"product.template"|"comment"|"Producto alternativo ESP32-WROOM-32E_HIGH_TEMP LTB propuesto por Monolitic a recomendación del fabricante "
"129"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32SE"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"130"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32U"|"product.template"|"comment"|"Producto alternativo ESP32-WROOM-32UE EOL propuesto por Monolitic a recomendación del fabricante "
"131"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32U_16MB"|"product.template"|"comment"|"Producto alternativo ESP32-WROOM-32UE_16mb LTB propuesto por Monolitic a recomendación del fabricante "
"132"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32U_8MB"|"product.template"|"comment"|"producto alternativo: ESP32-WROOM-32UE_8MB EOL propuesto por Monolitic a recomendación del fabricante "
"133"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROOM-32U_HIGH_TEMP"|"product.template"|"comment"|"PRODUCTO ALTERNATIVO ESP32-WROOM-32UE_HIGH_TEMP EOL propuesto por Monolitic a recomendación del fabricante "
"134"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"135"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER_16MB"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"136"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER_8MB"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"137"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER-B"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"138"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER-B_16MB"|"product.template"|"comment"|"LTB propuesto por Monolitic a recomendación del fabricante "
"139"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER-B_8MB"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
"140"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER-I"|"product.template"|"comment"|"PRODUCTO ALTERNATIVO ESP32-WROVER-IE EOL propuesto por Monolitic a recomendación del fabricante "
"141"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER-I_16MB"|"product.template"|"comment"|"ESP32-WROVER-IE_16MB EOL propuesto por Monolitic a recomendación del fabricante "
"142"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER-I_8MB"|"product.template"|"comment"|"PRODUCTO ALTERNATIVO ESP32-WROVER-IE_8MB EOL propuesto por Monolitic a recomendación del fabricante "
"143"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER-IB"|"product.template"|"comment"|"PRODUCTO ALTERNATIVO ESP32-WROVER-IE EOL propuesto por Monolitic a recomendación del fabricante "
"144"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER-IB_16MB"|"product.template"|"comment"|"LTB propuesto por Monolitic a recomendación del fabricante PRODUCTO ALTERNATIVO ESP32-WROVER-IE_16MB "
"145"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER-IB_8MB"|"product.template"|"comment"|"PRODUCTO ALTERNATIVO ESP32-WROVER-IE_8 MB EOL propuesto por Monolitic a recomendación del fabricante "
"146"|"Producto"|"2021-07-20 00:00:00"|"OdooBot"|"ESP32-WROVER-MUE"|"product.template"|"comment"|"EOL propuesto por Monolitic a recomendación del fabricante "
